,Weight
BAJAJ-AUTO.NS,0.038720174578306885
BHARTIARTL.NS,0.08908420888836775
DIVISLAB.NS,0.1475009443850396
HCLTECH.NS,0.1463717264930537
ICICIBANK.NS,0.06459747350457436
IREDA.NS,0.08961366580068807
M&M.NS,0.1037645176266681
RVNL.NS,0.039578877236053266
SUNPHARMA.NS,0.2807684114872482
