Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,HINDUNILVR.NS,ICICIBANK.NS,SBIN.NS,BHARTIARTL.NS,KOTAKBANK.NS,ITC.NS,LT.NS,AXISBANK.NS,ASIANPAINT.NS,MARUTI.NS,BAJFINANCE.NS,HCLTECH.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,NESTLEIND.NS,TATAMOTORS.NS,ADANIPORTS.NS,POWERGRID.NS,NTPC.NS_x,TECHM.NS,BAJAJFINSV.NS,HDFCLIFE.NS,DIVISLAB.NS,ONGC.NS,JSWSTEEL.NS,TATASTEEL.NS,COALINDIA.NS,GRASIM.NS,SBILIFE.NS,INDUSINDBK.NS,DRREDDY.NS,BPCL.NS,BRITANNIA.NS,M&M.NS,CIPLA.NS,EICHERMOT.NS,HEROMOTOCO.NS,ADANIENT.NS,HINDALCO.NS,UPL.NS,TATACONSUM.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,SHREECEM.NS,SUZLON.NS,JPPOWER.NS,RVNL.NS,BEL.NS,RAILTEL.NS,NTPC.NS_y,PNB.NS,IDEA.NS
2021-03-01,960.1181640625,2702.30322265625,1496.5106201171875,1148.625,2015.522216796875,588.0667724609375,364.4269409179688,514.8333129882812,1839.8411865234373,176.07391357421875,1397.748046875,725.389404296875,2264.654296875,6796.2109375,5159.16357421875,789.4856567382812,580.9591064453125,1429.3333740234375,6232.37353515625,203.16297912597656,1555.20849609375,323.49176025390625,675.8825073242188,102.18605041503906,90.41429901123048,831.2980346679688,975.6862182617188,696.5384521484375,3346.048095703125,90.30769348144533,384.5086669921875,29.4586238861084,105.37881469726562,1241.22412109375,867.0428466796875,1031.3236083984375,884.61572265625,179.65426635742188,3190.209716796875,779.8812866210938,762.5519409179688,2468.636474609375,2978.206787109375,849.381103515625,334.5155029296875,576.0806274414062,600.8441162109375,3043.76611328125,3419.844482421875,27275.20703125,5.41746187210083,2.8499999046325684,28.398061752319336,45.34440612792969,135.4579620361328,90.41429901123048,38.9533576965332,11.050000190734863
2021-03-02,962.0824584960938,2778.219970703125,1505.4384765625,1182.621337890625,2048.01171875,590.1450805664062,363.73486328125,523.5396728515625,1839.0936279296875,178.626953125,1409.8953857421875,728.0776977539062,2291.5927734375,6989.1015625,5207.65283203125,809.3427124023438,590.3302612304688,1448.03466796875,6289.2138671875,211.00711059570312,1582.289306640625,340.68621826171875,702.8045654296875,101.19679260253906,93.83246612548828,858.9191284179688,985.9630737304688,711.8963012695312,3399.551025390625,87.56875610351562,392.2918090820313,29.664321899414062,104.73021697998048,1269.4617919921875,869.7634887695312,1036.53857421875,874.9420776367188,185.08041381835932,3224.011962890625,818.520751953125,783.79296875,2513.20654296875,3090.39404296875,870.378662109375,335.6334533691406,574.9588623046875,608.3480224609375,3049.841552734375,3536.408203125,27227.759765625,5.463373184204102,2.950000047683716,28.52932929992676,47.06871795654297,162.53094482421875,93.83246612548828,39.14430618286133,11.350000381469728
2021-03-03,1005.9838256835938,2826.967041015625,1523.342041015625,1218.0228271484375,2062.633544921875,611.02490234375,373.746337890625,528.4732666015625,1893.7781982421875,178.6695098876953,1420.5718994140625,750.67919921875,2302.80908203125,6902.4892578125,5429.62158203125,819.1015014648438,600.085693359375,1451.430419921875,6365.00048828125,213.50743103027344,1594.0400390625,343.3959655761719,711.9248657226562,102.2984619140625,93.95751953125,866.8236083984375,1037.73193359375,718.5136108398438,3446.19140625,87.95451354980469,406.3869934082031,31.344158172607425,105.75431060791016,1292.355712890625,896.7720336914062,1062.0330810546875,894.3788452148438,184.0346221923828,3255.055419921875,810.9071044921875,784.4688110351562,2510.068115234375,3044.12353515625,913.0721435546876,349.3407592773437,598.51513671875,612.7254028320312,3019.90966796875,3497.897216796875,27263.693359375,5.233819007873535,3.0,28.04800605773925,47.5036735534668,154.018310546875,93.95751953125,41.57889175415039,11.149999618530272
2021-03-04,993.9920043945312,2818.2802734375,1489.934814453125,1206.0560302734375,2065.83056640625,600.0534057617188,365.0728454589844,521.9918823242188,1891.9835205078125,178.45672607421875,1388.020751953125,733.6035766601562,2317.189453125,6909.17431640625,5373.7861328125,812.94921875,594.8956298828125,1447.3948974609375,6634.31640625,215.12527465820312,1590.4652099609375,334.232177734375,733.9699096679688,101.24176025390624,92.37350463867188,859.7628784179688,1011.2135620117188,711.6000366210938,3434.88134765625,86.95153045654297,393.05120849609375,30.56977844238281,103.80853271484376,1324.0247802734375,906.12109375,1054.50048828125,908.7800903320312,183.0677795410156,3274.4580078125,804.4354858398438,778.917236328125,2504.41796875,3040.123291015625,916.1145629882812,339.71649169921875,600.3197021484375,607.1455078125,3005.190185546875,3478.1259765625,28229.75,5.233819007873535,2.950000047683716,28.26679039001465,47.47261047363281,151.1342315673828,92.37350463867188,41.62662506103516,11.0
2021-03-05,995.2939453125,2779.79052734375,1468.767333984375,1193.6812744140625,2069.780517578125,589.130126953125,354.0002136230469,515.4137573242188,1916.708984375,177.47811889648438,1388.9222412109375,727.5798950195312,2288.42919921875,7022.91259765625,5333.62451171875,798.947509765625,587.44677734375,1451.0367431640625,6668.34228515625,206.3251495361328,1602.0247802734375,320.3879089355469,730.5558471679688,99.03840637207033,90.62272644042967,852.3468627929688,994.0587158203124,708.3902587890625,3380.218505859375,88.68748474121094,385.7425537109375,29.575590133666992,103.15994262695312,1313.1907958984375,893.9029541015625,1004.2356567382812,892.3825073242188,182.2390594482422,3264.967529296875,799.8197021484375,777.3724365234375,2499.15478515625,3077.326171875,907.6358032226562,328.4396057128906,577.0072021484375,599.0162963867188,2844.562744140625,3454.63427734375,27414.650390625,5.0960869789123535,2.900000095367432,27.56668281555176,45.67063522338867,147.92457580566406,90.62272644042967,39.8126220703125,10.550000190734863
2021-03-08,1000.9586791992188,2778.7744140625,1458.6873779296875,1210.9515380859375,2044.814453125,587.7767333984375,359.49041748046875,508.5454711914063,1910.0791015625,177.01004028320312,1437.938720703125,740.0753784179688,2284.2109375,7033.0859375,5211.91357421875,816.2587890625,590.9068603515625,1433.861083984375,6529.1552734375,204.3886260986328,1608.663818359375,316.5450439453125,730.0194091796875,100.82453155517578,92.16509246826172,860.16259765625,982.1796875,714.0198364257812,3390.657958984375,91.2335205078125,387.1188659667969,29.734899520874023,104.55951690673828,1317.994873046875,913.9861450195312,983.3281860351562,892.3328247070312,184.17274475097656,3238.271484375,809.9078369140625,781.3309326171875,2494.808837890625,3079.32666015625,907.9349975585938,327.2243957519531,614.4631958007812,592.6666870117188,2831.819580078125,3406.125732421875,26761.44140625,5.187908172607422,2.900000095367432,27.8292236328125,45.06479263305664,143.22634887695312,92.16509246826172,39.86035537719727,10.5
2021-03-09,1000.935791015625,2819.435546875,1499.966552734375,1219.836181640625,2067.335693359375,604.25830078125,357.6449890136719,504.7243347167969,1972.9888916015625,176.83985900878906,1431.3905029296875,742.216064453125,2322.557861328125,7073.8232421875,5304.384765625,825.8052978515625,588.7923583984375,1434.0087890625,6557.79541015625,205.51622009277344,1614.2337646484375,310.58367919921875,732.3117065429688,98.92390441894533,91.2896957397461,877.6144409179688,995.1618041992188,731.0567016601562,3386.30810546875,90.07623291015624,381.18658447265625,28.50477409362793,103.56958770751952,1339.663330078125,960.9295654296876,989.653564453125,883.6026611328125,175.96449279785156,3204.18896484375,810.8595581054688,769.5036010742188,2503.935302734375,3065.9033203125,902.9474487304688,323.9677124023437,609.537353515625,588.4819946289062,2851.08349609375,3406.125732421875,26887.544921875,5.0960869789123535,2.8499999046325684,27.1728744506836,43.4958381652832,134.1554718017578,91.2896957397461,39.71714401245117,10.100000381469728
2021-03-10,996.7786254882812,2837.917724609375,1493.4866943359375,1240.3245849609375,2094.9345703125,604.7416381835938,357.7372436523437,508.6905212402344,1958.0340576171875,175.7335205078125,1446.479736328125,757.44970703125,2331.425537109375,7045.29248046875,5431.7275390625,838.8312377929688,601.671630859375,1448.133056640625,6623.056640625,209.1931610107422,1616.204833984375,316.7421264648437,727.0442504882812,98.53462982177734,91.41475677490234,895.9100952148438,997.387939453125,722.3159790039062,3410.37744140625,88.26313018798828,392.9562377929688,29.220666885375977,103.05753326416016,1357.9981689453125,930.7057495117188,1004.1874389648438,893.9517211914062,175.806640625,3254.3076171875,822.0896606445312,784.3723754882812,2580.809814453125,3039.678955078125,895.9150390625,330.8699645996094,606.0258178710938,597.3807983398438,2868.86474609375,3467.815185546875,27126.416015625,5.187908172607422,2.799999952316284,27.74171257019043,43.41817092895508,138.0629119873047,91.41475677490234,39.621673583984375,10.300000190734863
2021-03-12,976.518310546875,2825.90380859375,1489.8387451171875,1246.3983154296875,2073.21240234375,592.4166870117188,351.6473083496094,507.0943908691406,1929.3209228515625,174.62722778320312,1436.7998046875,747.3436889648438,2302.090576171875,6874.87841796875,5444.2666015625,830.9816284179688,589.7535400390625,1459.2064208984375,6499.78076171875,208.4577789306641,1596.2545166015625,312.8992004394531,710.2667846679688,100.77873229980467,90.95621490478516,891.0252685546875,991.6630249023438,702.0198974609375,3394.863037109375,88.76463317871094,397.46484375,29.037158966064453,102.75031280517578,1352.556396484375,904.439208984375,987.5773315429688,879.2723388671875,180.56187438964844,3211.20166015625,814.47607421875,778.1448364257812,2547.201416015625,2978.517822265625,891.8750610351562,321.002685546875,605.0504150390625,591.8971557617188,2940.23779296875,3359.1865234375,27269.84375,5.0960869789123535,2.75,27.39165496826172,43.511375427246094,134.9462890625,90.95621490478516,39.192039489746094,10.199999809265137
2021-03-15,963.4073486328124,2833.481689453125,1467.471435546875,1245.265380859375,2078.94873046875,583.3784790039062,354.2309265136719,505.7884521484375,1912.87060546875,174.8399658203125,1408.09228515625,741.1707153320312,2257.65625,6868.19287109375,5327.89453125,842.0982666015625,581.9683227539062,1468.7537841796875,6424.6796875,209.0215759277344,1606.81201171875,313.88458251953125,701.3901977539062,102.6564483642578,92.12339782714844,911.8078002929688,967.2011108398438,695.4520874023438,3297.18505859375,88.22455596923828,407.8107299804688,29.700618743896484,103.7389678955078,1357.066650390625,910.1773071289062,1003.0285034179688,862.537109375,181.74578857421875,3226.302978515625,803.6265258789062,777.7103271484375,2578.0576171875,2901.71142578125,893.9698486328125,324.5023803710937,606.0746459960938,584.585693359375,2960.242431640625,3285.885986328125,27213.779296875,5.141997814178467,2.700000047683716,26.91033363342285,42.594852447509766,131.73658752441406,92.12339782714844,38.9533576965332,10.050000190734863
