Date,portfolio_value,daily_return,cumulative_return
2020-01-30,9902.397581832938,,
2020-01-31,9902.397581832938,0.0,1.0
2020-02-03,9902.397581832938,0.0,1.0
2020-02-04,9902.397581832938,0.0,1.0
2020-02-05,9902.397581832938,0.0,1.0
2020-02-06,9902.397581832938,0.0,1.0
2020-02-07,9902.397581832938,0.0,1.0
2020-02-10,9902.397581832938,0.0,1.0
2020-02-11,9902.397581832938,0.0,1.0
2020-02-12,9902.397581832938,0.0,1.0
2020-02-13,9902.397581832938,0.0,1.0
2020-02-14,9902.397581832938,0.0,1.0
2020-02-17,9902.397581832938,0.0,1.0
2020-02-18,9902.397581832938,0.0,1.0
2020-02-19,9902.397581832938,0.0,1.0
2020-02-20,9902.397581832938,0.0,1.0
2020-02-24,9902.397581832938,0.0,1.0
2020-02-25,9902.397581832938,0.0,1.0
2020-02-26,9902.397581832938,0.0,1.0
2020-02-27,9902.397581832938,0.0,1.0
2020-02-28,9902.397581832938,0.0,1.0
2020-03-02,9902.397581832938,0.0,1.0
2020-03-03,9902.397581832938,0.0,1.0
2020-03-04,9902.397581832938,0.0,1.0
2020-03-05,9902.397581832938,0.0,1.0
2020-03-06,9902.397581832938,0.0,1.0
2020-03-09,9902.397581832938,0.0,1.0
2020-03-11,9902.397581832938,0.0,1.0
2020-03-12,9902.397581832938,0.0,1.0
2020-03-13,9902.397581832938,0.0,1.0
2020-03-16,9902.397581832938,0.0,1.0
2020-03-17,9902.397581832938,0.0,1.0
2020-03-18,9902.397581832938,0.0,1.0
2020-03-19,9902.397581832938,0.0,1.0
2020-03-20,9902.397581832938,0.0,1.0
2020-03-23,9902.397581832938,0.0,1.0
2020-03-24,9902.397581832938,0.0,1.0
2020-03-25,9902.397581832938,0.0,1.0
2020-03-26,9902.397581832938,0.0,1.0
2020-03-27,9902.397581832938,0.0,1.0
2020-03-30,9902.397581832938,0.0,1.0
2020-03-31,9902.397581832938,0.0,1.0
2020-04-01,9902.397581832938,0.0,1.0
2020-04-03,9902.397581832938,0.0,1.0
2020-04-07,9902.397581832938,0.0,1.0
2020-04-08,9902.397581832938,0.0,1.0
2020-04-09,9902.397581832938,0.0,1.0
2020-04-13,9902.397581832938,0.0,1.0
2020-04-15,9902.397581832938,0.0,1.0
2020-04-16,9902.397581832938,0.0,1.0
2020-04-17,9902.397581832938,0.0,1.0
2020-04-20,9902.397581832938,0.0,1.0
2020-04-21,9902.397581832938,0.0,1.0
2020-04-22,9902.397581832938,0.0,1.0
2020-04-23,9902.397581832938,0.0,1.0
2020-04-24,9902.397581832938,0.0,1.0
2020-04-27,9902.397581832938,0.0,1.0
2020-04-28,9902.397581832938,0.0,1.0
2020-04-29,9902.397581832938,0.0,1.0
2020-04-30,9902.397581832938,0.0,1.0
2020-05-04,9902.397581832938,0.0,1.0
2020-05-05,9902.397581832938,0.0,1.0
2020-05-06,9902.397581832938,0.0,1.0
2020-05-07,9902.397581832938,0.0,1.0
2020-05-08,9902.397581832938,0.0,1.0
2020-05-11,9902.397581832938,0.0,1.0
2020-05-12,9902.397581832938,0.0,1.0
2020-05-13,9902.397581832938,0.0,1.0
2020-05-14,9902.397581832938,0.0,1.0
2020-05-15,9902.397581832938,0.0,1.0
2020-05-18,9902.397581832938,0.0,1.0
2020-05-19,9902.397581832938,0.0,1.0
2020-05-20,9902.397581832938,0.0,1.0
2020-05-21,9902.397581832938,0.0,1.0
2020-05-22,9902.397581832938,0.0,1.0
2020-05-26,9902.397581832938,0.0,1.0
2020-05-27,9902.397581832938,0.0,1.0
2020-05-28,9902.397581832938,0.0,1.0
2020-05-29,9902.397581832938,0.0,1.0
2020-06-01,9902.397581832938,0.0,1.0
2020-06-02,9902.397581832938,0.0,1.0
2020-06-03,9902.397581832938,0.0,1.0
2020-06-04,9902.397581832938,0.0,1.0
2020-06-05,9902.397581832938,0.0,1.0
2020-06-08,9902.397581832938,0.0,1.0
2020-06-09,9902.397581832938,0.0,1.0
2020-06-10,9902.397581832938,0.0,1.0
2020-06-11,9902.397581832938,0.0,1.0
2020-06-12,9902.397581832938,0.0,1.0
2020-06-15,9902.397581832938,0.0,1.0
2020-06-16,9902.397581832938,0.0,1.0
2020-06-17,9902.397581832938,0.0,1.0
2020-06-18,9902.397581832938,0.0,1.0
2020-06-19,9902.397581832938,0.0,1.0
2020-06-22,9902.397581832938,0.0,1.0
2020-06-23,9902.397581832938,0.0,1.0
2020-06-24,9902.397581832938,0.0,1.0
2020-06-25,9902.397581832938,0.0,1.0
2020-06-26,9902.397581832938,0.0,1.0
2020-06-29,9902.397581832938,0.0,1.0
2020-06-30,9902.397581832938,0.0,1.0
2020-07-01,9902.397581832938,0.0,1.0
2020-07-02,9902.397581832938,0.0,1.0
2020-07-03,9902.397581832938,0.0,1.0
2020-07-06,9902.397581832938,0.0,1.0
2020-07-07,9902.397581832938,0.0,1.0
2020-07-08,9902.397581832938,0.0,1.0
2020-07-09,9902.397581832938,0.0,1.0
2020-07-10,9902.397581832938,0.0,1.0
2020-07-13,9902.397581832938,0.0,1.0
2020-07-14,9902.397581832938,0.0,1.0
2020-07-15,9902.397581832938,0.0,1.0
2020-07-16,9902.397581832938,0.0,1.0
2020-07-17,9902.397581832938,0.0,1.0
2020-07-20,9902.397581832938,0.0,1.0
2020-07-21,9902.397581832938,0.0,1.0
2020-07-22,9902.397581832938,0.0,1.0
2020-07-23,9902.397581832938,0.0,1.0
2020-07-24,9902.397581832938,0.0,1.0
2020-07-27,9902.397581832938,0.0,1.0
2020-07-28,9902.397581832938,0.0,1.0
2020-07-29,9902.397581832938,0.0,1.0
2020-07-30,9902.397581832938,0.0,1.0
2020-07-31,9902.397581832938,0.0,1.0
2020-08-03,9902.397581832938,0.0,1.0
